opti_insts_num,avail_sites_num,utilization,logic_area_length,logic_area_width,net_count,max_degree,avg_degree,logic_depth,alpha
100,144,0.390625,16,16,812,0,0.0,1.0663144504558943,30.39999999999999
100,144,0.390625,16,16,812,0,0.0,1.0663144504558943,30.0
70,112,0.35714285714285715,14,14,1090,0,0.0,0.5,23.4
70,112,0.35714285714285715,14,14,1090,0,0.0,0.5,25.0
70,112,0.35714285714285715,14,14,1090,0,0.0,0.5,24.799999999999994
70,112,0.35714285714285715,14,14,1090,0,0.0,0.5,23.799999999999997
70,112,0.35714285714285715,14,14,1090,0,0.0,0.5,23.2
9,24,0.36,5,5,184,0,0.0,0.5,49.800000000000026
9,24,0.36,5,5,184,0,0.0,0.5,50.0
9,24,0.36,5,5,184,0,0.0,0.5,50.400000000000034
9,24,0.36,5,5,184,0,0.0,0.5,50.60000000000004
9,24,0.36,5,5,184,0,0.0,0.5,50.80000000000004
22,45,0.34375,8,8,227,0,0.0,1.0952662047581807,20.0
22,45,0.34375,8,8,227,0,0.0,1.0952662047581807,20.199999999999992
22,45,0.34375,8,8,227,0,0.0,1.0952662047581807,20.39999999999999
22,45,0.34375,8,8,227,0,0.0,1.0952662047581807,18.2
22,45,0.34375,8,8,227,0,0.0,1.0952662047581807,18.4
22,45,0.34375,8,8,200,0,0.0,1.170469411414001,63.2
22,45,0.34375,8,8,200,0,0.0,1.170469411414001,63.400000000000006
22,45,0.34375,8,8,200,0,0.0,1.170469411414001,64.40000000000002
22,45,0.34375,8,8,200,0,0.0,1.170469411414001,64.60000000000002
22,45,0.34375,8,8,200,0,0.0,1.170469411414001,64.80000000000003
52,84,0.3611111111111111,12,12,633,0,0.0,0.5,15.99999999999999
52,84,0.3611111111111111,12,12,633,0,0.0,0.5,15.79999999999999
52,84,0.3611111111111111,12,12,633,0,0.0,0.5,15.59999999999999
52,84,0.3611111111111111,12,12,633,0,0.0,0.5,13.2
52,84,0.3611111111111111,12,12,633,0,0.0,0.5,13.799999999999997
45,77,0.371900826446281,11,11,475,0,0.0,0.5,11.199999999999989
45,77,0.371900826446281,11,11,475,0,0.0,0.5,10.99999999999999
45,77,0.371900826446281,11,11,475,0,0.0,0.5,9.199999999999996
45,77,0.371900826446281,11,11,475,0,0.0,0.5,8.799999999999997
45,77,0.371900826446281,11,11,475,0,0.0,0.5,8.599999999999998
103,170,0.356401384083045,17,17,1393,0,0.0,0.5,16.399999999999988
103,170,0.356401384083045,17,17,1393,0,0.0,0.5,16.599999999999987
103,170,0.356401384083045,17,17,1393,0,0.0,0.5,16.799999999999986
103,170,0.356401384083045,17,17,1393,0,0.0,0.5,15.79999999999999
103,170,0.356401384083045,17,17,1393,0,0.0,0.5,16.19999999999999
